Report Date,Week Ending Date,Health Region,Vaccination Status,Infections,Hospitalizations,Deaths,Population Denominator,rate_per_100k
2022-01-14,2021-09-04,Northwest Region,Fully Vaccinated,729.0,36.0,11.0,4993792.0,14.598125032039782
2022-01-14,2021-09-11,Central Region,Partially Vaccinated,245.0,2.0,4.0,593528.0,41.27859174293378
2022-01-14,2021-07-10,Northwest Region,Unvaccinated,268.0,14.0,3.0,3443254.0,7.783335182359478
2022-01-14,2021-04-10,Central Region,Fully Vaccinated,33.0,5.0,2.0,2099346.0,1.5719181116404823
2022-01-14,2021-07-17,Central Region,Fully Vaccinated,110.0,4.0,2.0,4656723.0,2.3621761483343544
2022-01-14,2021-02-20,Central Region,Unvaccinated,2348.0,76.0,35.0,7349843.0,31.9462606208051
2022-01-14,2021-11-06,Northwest Region,Partially Vaccinated,102.0,5.0,0.0,624445.0,16.334505040475943
2022-01-14,2021-08-14,Central Region,Unvaccinated,2272.0,64.0,27.0,3139868.0,72.35972977207959
2022-01-14,2021-05-15,Northern Region,Fully Vaccinated,46.0,1.0,1.0,3632238.0,1.2664368359121843
2022-01-14,2021-07-24,Central Region,Fully Vaccinated,199.0,13.0,5.0,4697306.0,4.236470862234651
2022-01-14,2021-07-17,Eastern Region,Partially Vaccinated,40.0,4.0,1.0,478817.0,8.35392227093023
2022-01-14,2021-12-25,Southwest Region,Fully Vaccinated,981.0,16.0,1.0,5732931.0,17.11166591748619
2022-01-14,2021-03-20,Central Region,Unvaccinated,1563.0,49.0,30.0,6335092.0,24.672096316833283
2022-01-14,2021-10-16,Eastern Region,Fully Vaccinated,593.0,12.0,5.0,5282636.0,11.225456382003227
2022-01-14,2021-10-16,Eastern Region,Unvaccinated,1597.0,52.0,19.0,2676143.0,59.675435879173875
2022-01-14,2021-03-20,Southwest Region,Fully Vaccinated,15.0,3.0,2.0,1259404.0,1.19103957109871
2022-01-14,2021-09-04,Southwest Region,Unvaccinated,4738.0,144.0,66.0,2947842.0,160.72774592396743
2022-01-14,2021-08-14,Southwest Region,Fully Vaccinated,575.0,23.0,10.0,4820726.0,11.927664007454478
2022-01-14,2021-08-21,Northwest Region,Unvaccinated,2464.0,79.0,27.0,3074560.0,80.14154870940882
2022-01-14,2021-02-13,Southwest Region,Partially Vaccinated,138.0,8.0,9.0,688248.0,20.05091188060118
2022-01-14,2021-04-10,Southwest Region,Unvaccinated,1273.0,85.0,32.0,5130433.0,24.81272048577576
2022-01-14,2021-11-13,Southwest Region,Partially Vaccinated,125.0,4.0,3.0,702602.0,17.791011127209998
2022-01-14,2021-08-07,Northern Region,Unvaccinated,1380.0,46.0,9.0,3210294.0,42.98671710441474
2022-01-14,2021-04-24,Southwest Region,Fully Vaccinated,48.0,14.0,4.0,2767562.0,1.734378489081726
2022-01-14,2021-03-06,Southwest Region,Fully Vaccinated,11.0,2.0,0.0,951871.0,1.1556187760736485
2022-01-14,2021-03-20,Southwest Region,Partially Vaccinated,122.0,7.0,3.0,941023.0,12.964614042377285
2022-01-14,2021-04-10,Eastern Region,Unvaccinated,1959.0,66.0,24.0,5130433.0,38.183911572376054
2022-01-14,2022-01-08,Southwest Region,Unvaccinated,10835.0,39.0,6.0,1926541.0,562.4069251575752
2022-01-14,2021-07-03,Northwest Region,Partially Vaccinated,9.0,5.0,2.0,491659.0,1.8305370185433398
2022-01-14,2021-05-22,Eastern Region,Partially Vaccinated,30.0,3.0,0.0,764707.0,3.923071189357493
2022-01-14,2021-05-22,Northern Region,Fully Vaccinated,42.0,3.0,0.0,3871857.0,1.0847508056211788
2022-01-14,2021-05-22,Southwest Region,Partially Vaccinated,27.0,5.0,0.0,764707.0,3.530764070421743
2022-01-14,2021-07-24,Eastern Region,Partially Vaccinated,64.0,0.0,0.0,490259.0,13.05432434692683
2022-01-14,2021-09-11,Southwest Region,Unvaccinated,4755.0,138.0,74.0,2895033.0,164.24683241952684
2022-01-14,2021-03-06,Central Region,Partially Vaccinated,91.0,9.0,2.0,672101.0,13.539631692260537
2022-01-14,2021-07-31,Southwest Region,Fully Vaccinated,354.0,37.0,2.0,4735961.0,7.474723714996808
2022-01-14,2021-08-14,Northwest Region,Unvaccinated,1706.0,69.0,20.0,3139868.0,54.33349427428159
2022-01-14,2021-02-06,Eastern Region,Unvaccinated,5068.0,212.0,76.0,7577823.0,66.87936627709568
2022-01-14,2021-08-14,Central Region,Fully Vaccinated,538.0,11.0,13.0,4820726.0,11.160144758279147
2022-01-14,2021-12-18,Southwest Region,Fully Vaccinated,764.0,33.0,8.0,5706508.0,13.388222709930487
2022-01-14,2021-04-10,Northwest Region,Fully Vaccinated,28.0,3.0,0.0,2099346.0,1.3337487007858637
2022-01-14,2021-04-03,Central Region,Partially Vaccinated,189.0,14.0,5.0,1261673.0,14.980109743174342
2022-01-14,2021-07-10,Central Region,Fully Vaccinated,70.0,5.0,1.0,4609556.0,1.5185844363318288
2022-01-14,2021-05-29,Southwest Region,Fully Vaccinated,23.0,2.0,0.0,4023787.0,0.5716008327478567
2022-01-14,2021-10-02,Eastern Region,Unvaccinated,2681.0,65.0,28.0,2760178.0,97.13141688688194
2022-01-14,2021-06-19,Northwest Region,Partially Vaccinated,6.0,1.0,0.0,528571.0,1.1351360555157206
2022-01-14,2021-08-14,Northern Region,Fully Vaccinated,827.0,13.0,4.0,4820726.0,17.155092407243224
2022-01-14,2021-06-19,Central Region,Fully Vaccinated,20.0,0.0,0.0,4427962.0,0.45167505954206466
2022-01-14,2021-10-23,Southwest Region,Unvaccinated,1850.0,78.0,41.0,2631942.0,70.29030274983263
2022-01-14,2021-04-03,Northwest Region,Partially Vaccinated,118.0,8.0,1.0,1261673.0,9.352661109495092
2022-01-14,2021-09-11,Northwest Region,Unvaccinated,4235.0,103.0,52.0,2895033.0,146.2850337111874
2022-01-14,2021-08-07,Northwest Region,Unvaccinated,1463.0,45.0,12.0,3210294.0,45.57215008968026
2022-01-14,2021-11-06,Southwest Region,Partially Vaccinated,134.0,10.0,0.0,624445.0,21.459055641409574
2022-01-14,2021-08-28,Northern Region,Unvaccinated,1867.0,49.0,7.0,3009411.0,62.03871787535834
2022-01-14,2022-01-08,Eastern Region,Partially Vaccinated,2277.0,75.0,0.0,813550.0,279.8844570094032
2022-01-14,2021-06-26,Northern Region,Unvaccinated,202.0,4.0,1.0,3752780.0,5.382676309296042
2022-01-14,2021-05-15,Central Region,Partially Vaccinated,41.0,7.0,0.0,812753.0,5.044583040603972
2022-01-14,2022-01-08,Eastern Region,Fully Vaccinated,1166.0,55.0,1.0,5795428.0,20.119307840594345
2022-01-14,2021-08-28,Central Region,Partially Vaccinated,254.0,5.0,2.0,592894.0,42.84071014380311
2022-01-14,2021-05-08,Southwest Region,Fully Vaccinated,42.0,7.0,2.0,3379928.0,1.2426300205211471
2022-01-14,2021-07-10,Northern Region,Unvaccinated,309.0,15.0,2.0,3443254.0,8.974069296078651
2022-01-14,2021-08-28,Eastern Region,Unvaccinated,4488.0,118.0,56.0,3009411.0,149.13217237525882
2022-01-14,2021-07-17,Southwest Region,Partially Vaccinated,19.0,0.0,0.0,478817.0,3.9681130786918595
2022-01-14,2021-11-20,Eastern Region,Partially Vaccinated,103.0,6.0,1.0,761876.0,13.51926035207829
2022-01-14,2021-03-27,Northwest Region,Unvaccinated,1442.0,28.0,14.0,5874242.0,24.547848045756368
2022-01-14,2021-10-23,Northwest Region,Fully Vaccinated,518.0,18.0,8.0,5317385.0,9.74163051951288
2022-01-14,2022-01-01,Eastern Region,Partially Vaccinated,1842.0,109.0,1.0,797749.0,230.899694014032
2022-01-14,2021-04-03,Northern Region,Fully Vaccinated,48.0,0.0,0.0,1786946.0,2.686147203105186
2022-01-14,2021-03-13,Northwest Region,Unvaccinated,1422.0,28.0,23.0,6631890.0,21.441851417921587
2022-01-14,2021-10-02,Central Region,Partially Vaccinated,178.0,2.0,2.0,578281.0,30.780883342181394
2022-01-14,2021-02-06,Southwest Region,Unvaccinated,2667.0,111.0,48.0,7577823.0,35.194804629245105
2022-01-14,2021-05-22,Northern Region,Unvaccinated,428.0,9.0,4.0,3898955.0,10.977300327908376
2022-01-14,2021-02-27,Southwest Region,Unvaccinated,1428.0,66.0,16.0,7175693.0,19.9005169256823
2022-01-14,2021-10-30,Northern Region,Partially Vaccinated,117.0,4.0,0.0,597418.0,19.584277674927772
2022-01-14,2021-06-26,Eastern Region,Unvaccinated,266.0,21.0,9.0,3752780.0,7.08807870432053
2022-01-14,2021-10-09,Northwest Region,Partially Vaccinated,212.0,4.0,3.0,578256.0,36.66196286765723
2022-01-14,2021-01-30,Northern Region,Fully Vaccinated,3.0,0.0,0.0,153503.0,1.9543591981915662
2022-01-14,2021-12-11,Eastern Region,Partially Vaccinated,169.0,4.0,0.0,743536.0,22.729228981515355
2022-01-14,2021-03-06,Southwest Region,Unvaccinated,1411.0,58.0,56.0,6911547.0,20.415111117670182
2022-01-14,2021-06-05,Central Region,Partially Vaccinated,11.0,1.0,0.0,685671.0,1.6042679360801317
